tournament,date,location,weight,champion,runnerUp
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-106,Brody Compau (Rockford),Grayson Van Valkenburg (Grandville)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-113,Cyrus Woodberry (Cass Tech),Jase Sensor (Hartland)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-120,Layne Martin (Rockford),Matthew Quigley (TC West)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-126,Jamison Gregory (Detroit CC),Steve Vaughn (Davison)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-132,Wyatt Lees (Detroit CC),Eben Abdo (Grand Ledge)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-138,Bodie Abbey (Hartland),Carl Nihranz (Dakota)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-144,Nate Carter (Clarkston),Deacon Morgan (Adams)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-150,Grayson Fuchs (Detroit CC),Deacon MacNeill (Brother Rice)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-157,Dallas Korponic (Hartland),Alexander Buskirk (Detroit CC)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-165,Jay'Den Williams (Roseville),Anthony Madafferi (Novi)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-175,Braxten Roche (Detroit CC),Zach Miracle (Bedford)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-190,Caden Krueger (Detroit CC),Dominic Nauss (Brighton)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-215,Tyler Meeuwson (East Kentwood),Hadi Mazraani (Dearborn)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D1-285,Logan Tollison (Grand Ledge),Jase Fuller (Lapeer)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-106,Thomas Leahy (Lake  Shore),Chase Jacobs (Lakeshore)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-113,Dylan Nieuwenheis (Plainwell),Tyler Cooper (Plainwell)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-120,Jarrett Smith (Lowell),Tim Hanna (North Branch)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-126,Cristian Haslem (St Clair),Lucas Christopher (Fenton)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-132,Devan Garcia (Harper Creek),Rasler Warner  (Gull Lake)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-138,Quinten Cassiday (Cedar Springs),Izaak Kukulski (BC John Glenn)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-144,Luke Egan (Cedar Springs),Logan Dawson (Lowell)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-150,Bryce Morrison (Hamilton),Tyler Densmore (Charlotte)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-157,Johnathan Ford (BC John Glenn),Lane Blanchard (Otsego)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-165,Zane Willobee (Gaylord),D'Marion Erlenbeck (Clio)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-175,Louis Smith (Three Rivers),Seth Harvey (Lowell)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-190,Brad Meyers (Portland),Martin Knight (North Branch)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-215,Landon Guilford (Portland),Johnathan Golec (Goodrich)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D2-285,Layne O'Neil (Fowlerville),Harland Begg (Marshall)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-106,Dylan Phillips (Laingsburg),Dom Sindone (Dundee)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-113,Braxton Shaffer (Ida),Jude Rosas (Blissfield)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-120,Mason Haines (Dundee),Danny VanEckhoutte (Erie Mason)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-126,Bryan Sterling (Dundee),Mackey McClelland (Yale)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-132,Mason Katschor (Dundee),Logan Rhodes (Yale)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-138,Dale Gant (GR CC),Bear Geibe (Constantine)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-144,Braden Broderick (Dundee),Ryan Woods (Belding)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-150,Stone Redmon (Dundee),Van Wirtz (Olivet)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-157,Blake Cosby (Dundee),Grason Weber (Leslie)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-165,Donny Beaufait (Dundee),Carson Warner (Napoleon)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-175,Fred Hammond (Lakeville),Max Sundquist (Kingsford)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-190,Lane Knisely (Bronson),Alex Schram (Swan Valley)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-215,Rocco Redmon (Dundee),Brady Warner (Napoleon)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D3-285,Mitchell Swift (Delton Kellogg),Dylan Boone (Columbia Central)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D4-106,Jaxton Kimling (Hudson),Bryce Cartwright (Coloma)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D4-113,Royce Beal (Hudson),Brody Ashley (Coloma)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D4-120,Alex Rodriguez (St. Louis),Liam McClain (Hudson)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D4-126,Owen Fogel (St. Louis),Sammy Stewart (Manchester)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D4-132,Nicholas Sorrow (Hudson),Andrew Frazier (Gabriel Richard
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D4-138,Colt Perry (Hudson),Luke Harrington (Gabriel Richard)
MHSAA Championsips,2026-3-7,Ford Field (Detroit),D4-144,Wyatt Burns (Springport),AJ Barnabei (Gabriel Richard)
